# CMS-HCC V28 ICD-10 -> HCC crosswalk, 2026 midyear/final model software — source: https://www.cms.gov/files/zip/2026-midyear-final-model-software-python.zip
# 8933 mappings. Columns: code, HCC, label, age/sex condition. Regenerate with scripts/build_reference.py
A01.04	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A01.05	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A02.1	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A02.23	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A02.24	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A06.5	HCC283	Empyema, Lung Abscess	
A07.2	HCC6	Opportunistic Infections	
A20.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A22.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A26.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A31.0	HCC6	Opportunistic Infections	
A31.2	HCC6	Opportunistic Infections	
A32.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A36.81	HCC227	Cardiomyopathy/Myocarditis	
A39.2	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A39.3	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A39.4	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A39.83	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A39.84	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A40.0	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A40.1	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A40.3	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A40.8	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A40.9	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.01	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.02	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.1	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.2	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.3	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.4	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.50	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.51	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.52	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.53	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.54	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.59	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.81	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.89	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A41.9	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A42.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A48.0	HCC263	Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene	
A48.1	HCC282	Aspiration and Specified Bacterial Pneumonias	
A48.3	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A50.55	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.40	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.41	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.42	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.43	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.49	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A54.85	HCC78	Intestinal Obstruction/Perforation	
A54.86	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
A66.6	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A69.23	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
A81.00	HCC127	Dementia, Mild or Unspecified	
A81.01	HCC127	Dementia, Mild or Unspecified	
A81.09	HCC127	Dementia, Mild or Unspecified	
A81.1	HCC127	Dementia, Mild or Unspecified	
A81.2	HCC127	Dementia, Mild or Unspecified	
A81.81	HCC127	Dementia, Mild or Unspecified	
A81.82	HCC127	Dementia, Mild or Unspecified	
A81.83	HCC127	Dementia, Mild or Unspecified	
A81.89	HCC127	Dementia, Mild or Unspecified	
A81.9	HCC127	Dementia, Mild or Unspecified	
B00.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
B00.82	HCC182	Spinal Cord Disorders/Injuries	
B01.12	HCC182	Spinal Cord Disorders/Injuries	
B02.24	HCC182	Spinal Cord Disorders/Injuries	
B06.82	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
B18.0	HCC65	Chronic Hepatitis	
B18.1	HCC65	Chronic Hepatitis	
B18.2	HCC65	Chronic Hepatitis	
B18.8	HCC65	Chronic Hepatitis	
B18.9	HCC65	Chronic Hepatitis	
B20	HCC1	HIV/AIDS	
B25.0	HCC6	Opportunistic Infections	
B25.1	HCC6	Opportunistic Infections	
B25.2	HCC6	Opportunistic Infections	
B25.8	HCC6	Opportunistic Infections	
B25.9	HCC6	Opportunistic Infections	
B26.85	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
B33.24	HCC227	Cardiomyopathy/Myocarditis	
B37.1	HCC6	Opportunistic Infections	
B37.7	HCC2	Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock	
B37.7	HCC6	Opportunistic Infections	
B37.81	HCC6	Opportunistic Infections	
B42.82	HCC92	Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis	
B44.0	HCC6	Opportunistic Infections	
B44.1	HCC6	Opportunistic Infections	
B44.2	HCC6	Opportunistic Infections	
B44.7	HCC6	Opportunistic Infections	
B44.81	HCC280	Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders	
B44.89	HCC6	Opportunistic Infections	
B44.9	HCC6	Opportunistic Infections	
B45.0	HCC6	Opportunistic Infections	
B45.1	HCC6	Opportunistic Infections	
B45.2	HCC6	Opportunistic Infections	
B45.3	HCC6	Opportunistic Infections	
B45.7	HCC6	Opportunistic Infections	
B45.8	HCC6	Opportunistic Infections	
B45.9	HCC6	Opportunistic Infections	
B46.0	HCC6	Opportunistic Infections	
B46.1	HCC6	Opportunistic Infections	
B46.2	HCC6	Opportunistic Infections	
B46.3	HCC6	Opportunistic Infections	
B46.4	HCC6	Opportunistic Infections	
B46.5	HCC6	Opportunistic Infections	
B46.8	HCC6	Opportunistic Infections	
B46.9	HCC6	Opportunistic Infections	
B48.4	HCC6	Opportunistic Infections	
B48.8	HCC6	Opportunistic Infections	
B58.2	HCC6	Opportunistic Infections	
B58.3	HCC6	Opportunistic Infections	
B59	HCC6	Opportunistic Infections	
B97.35	HCC1	HIV/AIDS	
C01	HCC21	Lymphoma and Other Cancers	
C02.0	HCC21	Lymphoma and Other Cancers	
C02.1	HCC21	Lymphoma and Other Cancers	
C02.2	HCC21	Lymphoma and Other Cancers	
C02.3	HCC21	Lymphoma and Other Cancers	
C02.4	HCC21	Lymphoma and Other Cancers	
C02.8	HCC21	Lymphoma and Other Cancers	
C02.9	HCC21	Lymphoma and Other Cancers	
C03.0	HCC21	Lymphoma and Other Cancers	
C03.1	HCC21	Lymphoma and Other Cancers	
C03.9	HCC21	Lymphoma and Other Cancers	
C04.0	HCC21	Lymphoma and Other Cancers	
C04.1	HCC21	Lymphoma and Other Cancers	
C04.8	HCC21	Lymphoma and Other Cancers	
C04.9	HCC21	Lymphoma and Other Cancers	
C05.0	HCC21	Lymphoma and Other Cancers	
C05.1	HCC21	Lymphoma and Other Cancers	
C05.2	HCC21	Lymphoma and Other Cancers	
C05.8	HCC21	Lymphoma and Other Cancers	
C05.9	HCC21	Lymphoma and Other Cancers	
C06.0	HCC21	Lymphoma and Other Cancers	
C06.1	HCC21	Lymphoma and Other Cancers	
C06.2	HCC21	Lymphoma and Other Cancers	
C06.80	HCC21	Lymphoma and Other Cancers	
C06.89	HCC21	Lymphoma and Other Cancers	
C06.9	HCC21	Lymphoma and Other Cancers	
C07	HCC21	Lymphoma and Other Cancers	
C08.0	HCC21	Lymphoma and Other Cancers	
C08.1	HCC21	Lymphoma and Other Cancers	
C08.9	HCC21	Lymphoma and Other Cancers	
C09.0	HCC21	Lymphoma and Other Cancers	
C09.1	HCC21	Lymphoma and Other Cancers	
C09.8	HCC21	Lymphoma and Other Cancers	
C09.9	HCC21	Lymphoma and Other Cancers	
C10.0	HCC21	Lymphoma and Other Cancers	
C10.1	HCC21	Lymphoma and Other Cancers	
C10.2	HCC21	Lymphoma and Other Cancers	
C10.3	HCC21	Lymphoma and Other Cancers	
C10.4	HCC21	Lymphoma and Other Cancers	
C10.8	HCC21	Lymphoma and Other Cancers	
C10.9	HCC21	Lymphoma and Other Cancers	
C11.0	HCC21	Lymphoma and Other Cancers	
C11.1	HCC21	Lymphoma and Other Cancers	
C11.2	HCC21	Lymphoma and Other Cancers	
C11.3	HCC21	Lymphoma and Other Cancers	
C11.8	HCC21	Lymphoma and Other Cancers	
C11.9	HCC21	Lymphoma and Other Cancers	
C12	HCC21	Lymphoma and Other Cancers	
C13.0	HCC21	Lymphoma and Other Cancers	
C13.1	HCC21	Lymphoma and Other Cancers	
C13.2	HCC21	Lymphoma and Other Cancers	
C13.8	HCC21	Lymphoma and Other Cancers	
C13.9	HCC21	Lymphoma and Other Cancers	
C14.0	HCC21	Lymphoma and Other Cancers	
C14.2	HCC21	Lymphoma and Other Cancers	
C14.8	HCC21	Lymphoma and Other Cancers	
C15.3	HCC20	Lung and Other Severe Cancers	
C15.4	HCC20	Lung and Other Severe Cancers	
C15.5	HCC20	Lung and Other Severe Cancers	
C15.8	HCC20	Lung and Other Severe Cancers	
C15.9	HCC20	Lung and Other Severe Cancers	
